epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16446.2,0.54212,0.45909,0.93176,0.97343,0.9612,0.97996,0.90915,0.40786,0.38473,0.86756,0.005842,0.005842,0.005842
44,16816.6,0.51413,0.44887,0.92561,0.9461,0.95693,0.9777,0.89494,0.41748,0.41336,0.87307,0.005743,0.005743,0.005743
45,17184.8,0.52232,0.44412,0.92907,0.98283,0.96092,0.97806,0.89924,0.42131,0.38217,0.88246,0.005644,0.005644,0.005644
46,17556.2,0.52257,0.46087,0.92571,0.94779,0.92638,0.95931,0.88536,0.43052,0.44316,0.88978,0.005545,0.005545,0.005545
47,17929.7,0.51446,0.44849,0.92678,0.94666,0.96606,0.9787,0.90501,0.39098,0.39478,0.86882,0.005446,0.005446,0.005446
48,18300.9,0.52355,0.47254,0.9313,0.90725,0.94494,0.95588,0.89407,0.39203,0.50615,0.86466,0.005347,0.005347,0.005347
49,18670.7,0.50601,0.43776,0.92237,0.94326,0.93029,0.96276,0.90212,0.36491,0.42306,0.85843,0.005248,0.005248,0.005248
50,19041.7,0.50375,0.44662,0.91928,0.96921,0.97389,0.98628,0.92312,0.39223,0.35236,0.85481,0.005149,0.005149,0.005149
51,19416.6,0.49915,0.42244,0.9218,0.97368,0.96084,0.9789,0.90659,0.39605,0.34954,0.86266,0.00505,0.00505,0.00505
52,19792.7,0.5071,0.43806,0.92411,0.95787,0.9506,0.97743,0.9064,0.40162,0.39644,0.8809,0.004951,0.004951,0.004951
53,20175.1,0.49608,0.42575,0.91052,0.9665,0.94916,0.97792,0.9215,0.37243,0.36933,0.85684,0.004852,0.004852,0.004852
54,20551.6,0.48406,0.41522,0.91491,0.96381,0.97079,0.98215,0.92795,0.35116,0.35446,0.8437,0.004753,0.004753,0.004753
55,20929.2,0.49735,0.42471,0.91666,0.96543,0.95041,0.9802,0.92217,0.3645,0.36744,0.84871,0.004654,0.004654,0.004654
56,21309.4,0.50021,0.43172,0.92059,0.96512,0.93801,0.97012,0.91333,0.37029,0.37803,0.8441,0.004555,0.004555,0.004555
57,21699.9,0.4912,0.42231,0.91968,0.95211,0.97067,0.98559,0.92029,0.36066,0.35892,0.8654,0.004456,0.004456,0.004456
58,23230.3,0.48632,0.41069,0.91528,0.9553,0.96113,0.98764,0.93668,0.34543,0.33131,0.83791,0.004357,0.004357,0.004357
59,24526.4,0.47661,0.39491,0.91097,0.96503,0.9426,0.97954,0.93331,0.36004,0.36021,0.84566,0.004258,0.004258,0.004258
60,24889.7,0.48703,0.41053,0.91402,0.95131,0.96092,0.98617,0.92408,0.36014,0.35406,0.84969,0.004159,0.004159,0.004159
